Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K),pH
161.0,0.0424,46.7851,0.0261,1545.0036,300.93,3.19
162.0,0.0425,46.8019,0.0261,1545.2814,300.94,3.19
163.0,0.0425,46.8187,0.0261,1545.5592,300.94,3.19
164.0,0.0425,46.8355,0.0261,1545.8370,300.95,3.19
165.0,0.0425,46.8524,0.0261,1546.1148,300.95,3.19
166.0,0.0425,46.8692,0.0262,1546.3926,300.96,3.19
167.0,0.0425,46.8860,0.0262,1546.6704,300.97,3.19
168.0,0.0425,46.9028,0.0262,1546.9482,300.97,3.19
169.0,0.0426,46.9197,0.0262,1547.2260,300.98,3.19
170.0,0.0426,46.9365,0.0262,1547.5038,300.98,3.19
171.0,0.0426,46.9533,0.0263,1547.7816,300.99,3.19
172.0,0.0426,46.9702,0.0263,1548.0594,300.99,3.19
173.0,0.0426,46.9870,0.0263,1548.3372,301.00,3.19
174.0,0.0426,47.0039,0.0263,1548.6150,301.01,3.19
175.0,0.0426,47.0207,0.0263,1548.8928,301.01,3.19
176.0,0.0427,47.0375,0.0264,1549.1706,301.02,3.19
177.0,0.0427,47.0544,0.0264,1549.4484,301.02,3.19
178.0,0.0427,47.0713,0.0264,1549.7262,301.03,3.19
179.0,0.0427,47.0881,0.0264,1550.0040,301.03,3.19
180.0,0.0427,47.1050,0.0264,1550.2818,301.04,3.19
181.0,0.0427,47.1218,0.0265,1550.5596,301.05,3.19
182.0,0.0428,47.1387,0.0265,1550.8374,301.05,3.19
183.0,0.0428,47.1556,0.0265,1551.1152,301.06,3.19
184.0,0.0428,47.1725,0.0265,1551.3930,301.06,3.19
185.0,0.0428,47.1893,0.0265,1551.6708,301.07,3.19
186.0,0.0428,47.2062,0.0266,1551.9486,301.07,3.19
187.0,0.0428,47.2231,0.0266,1552.2264,301.08,3.19
188.0,0.0428,47.2400,0.0266,1552.5042,301.09,3.19
189.0,0.0429,47.2569,0.0266,1552.7820,301.09,3.19
190.0,0.0429,47.2738,0.0266,1553.0598,301.10,3.19
191.0,0.0429,47.2907,0.0267,1553.3376,301.10,3.19
192.0,0.0429,47.3076,0.0267,1553.6154,301.11,3.19
193.0,0.0429,47.3245,0.0267,1553.8932,301.11,3.18
194.0,0.0429,47.3414,0.0267,1554.1710,301.12,3.18
195.0,0.0430,47.3583,0.0267,1554.4488,301.12,3.18
196.0,0.0430,47.3752,0.0268,1554.7266,301.13,3.18
197.0,0.0430,47.3921,0.0268,1555.0044,301.14,3.18
198.0,0.0430,47.4090,0.0268,1555.2822,301.14,3.18
199.0,0.0430,47.4259,0.0268,1555.5600,301.15,3.18
200.0,0.0430,47.4429,0.0268,1555.8378,301.15,3.18
201.0,0.0430,47.4598,0.0269,1556.1156,301.16,3.18
202.0,0.0431,47.4767,0.0269,1556.3934,301.16,3.18
203.0,0.0431,47.4936,0.0269,1556.6712,301.17,3.18
204.0,0.0431,47.5106,0.0269,1556.9490,301.18,3.18
205.0,0.0431,47.5275,0.0269,1557.2268,301.18,3.18
206.0,0.0431,47.5445,0.0270,1557.5046,301.19,3.18
207.0,0.0431,47.5614,0.0270,1557.7824,301.19,3.18
208.0,0.0432,47.5784,0.0270,1558.0602,301.20,3.18
209.0,0.0432,47.5953,0.0270,1558.3380,301.20,3.18
210.0,0.0432,47.6123,0.0271,1558.6158,301.21,3.18
211.0,0.0432,47.6292,0.0271,1558.8936,301.22,3.18
212.0,0.0432,47.6462,0.0271,1559.1714,301.22,3.18
213.0,0.0432,47.6631,0.0271,1559.4492,301.23,3.18
214.0,0.0432,47.6801,0.0271,1559.7270,301.23,3.18
215.0,0.0433,47.6971,0.0272,1560.0048,301.24,3.18
216.0,0.0433,47.7140,0.0272,1560.2826,301.24,3.18
217.0,0.0433,47.7310,0.0272,1560.5604,301.25,3.18
218.0,0.0433,47.7480,0.0272,1560.8382,301.25,3.18
219.0,0.0433,47.7650,0.0272,1561.1160,301.26,3.18
220.0,0.0433,47.7820,0.0273,1561.3938,301.27,3.18
221.0,0.0434,47.7989,0.0273,1561.6716,301.27,3.18
222.0,0.0434,47.8159,0.0273,1561.9494,301.28,3.18
223.0,0.0434,47.8329,0.0273,1562.2272,301.28,3.18
224.0,0.0434,47.8499,0.0273,1562.5050,301.29,3.18
225.0,0.0434,47.8669,0.0274,1562.7828,301.29,3.18
226.0,0.0434,47.8839,0.0274,1563.0606,301.30,3.18
227.0,0.0434,47.9009,0.0274,1563.3384,301.31,3.18
228.0,0.0435,47.9179,0.0274,1563.6162,301.31,3.18
229.0,0.0435,47.9349,0.0274,1563.8940,301.32,3.18
230.0,0.0435,47.9519,0.0275,1564.1718,301.32,3.18
231.0,0.0435,47.9690,0.0275,1564.4496,301.33,3.18
232.0,0.0435,47.9860,0.0275,1564.7274,301.33,3.18
233.0,0.0435,48.0030,0.0275,1565.0052,301.34,3.18
234.0,0.0436,48.0200,0.0275,1565.2830,301.34,3.18
235.0,0.0436,48.0371,0.0276,1565.5608,301.35,3.18
236.0,0.0436,48.0541,0.0276,1565.8386,301.36,3.18
237.0,0.0436,48.0711,0.0276,1566.1164,301.36,3.18
238.0,0.0436,48.0882,0.0276,1566.3942,301.37,3.18
239.0,0.0436,48.1052,0.0277,1566.6720,301.37,3.18
240.0,0.0436,48.1222,0.0277,1566.9498,301.38,3.18
241.0,0.0437,48.1393,0.0277,1567.2276,301.38,3.18
242.0,0.0437,48.1563,0.0277,1567.5054,301.39,3.18
243.0,0.0437,48.1734,0.0277,1567.7832,301.40,3.18
244.0,0.0437,48.1905,0.0278,1568.0610,301.40,3.18
245.0,0.0437,48.2075,0.0278,1568.3388,301.41,3.18
246.0,0.0437,48.2246,0.0278,1568.6166,301.41,3.18
247.0,0.0438,48.2416,0.0278,1568.8944,301.42,3.18
248.0,0.0438,48.2587,0.0278,1569.1722,301.42,3.18
249.0,0.0438,48.2758,0.0279,1569.4500,301.43,3.18
250.0,0.0438,48.2928,0.0279,1569.7278,301.43,3.18
251.0,0.0438,48.3099,0.0279,1570.0056,301.44,3.18
252.0,0.0438,48.3270,0.0279,1570.2834,301.45,3.18
253.0,0.0439,48.3441,0.0279,1570.5612,301.45,3.18
254.0,0.0439,48.3612,0.0280,1570.8390,301.46,3.18
255.0,0.0439,48.3783,0.0280,1571.1168,301.46,3.18
256.0,0.0439,48.3954,0.0280,1571.3946,301.47,3.18
257.0,0.0439,48.4124,0.0280,1571.6724,301.47,3.18
258.0,0.0439,48.4295,0.0281,1571.9502,301.48,3.17
259.0,0.0439,48.4466,0.0281,1572.2280,301.48,3.17
260.0,0.0440,48.4637,0.0281,1572.5058,301.49,3.17
261.0,0.0440,48.4809,0.0281,1572.7836,301.50,3.17
262.0,0.0440,48.4980,0.0281,1573.0614,301.50,3.17
263.0,0.0440,48.5151,0.0282,1573.3392,301.51,3.17
264.0,0.0440,48.5322,0.0282,1573.6170,301.51,3.17
265.0,0.0440,48.5493,0.0282,1573.8948,301.52,3.17
266.0,0.0441,48.5664,0.0282,1574.1726,301.52,3.17
267.0,0.0441,48.5836,0.0282,1574.4504,301.53,3.17
268.0,0.0441,48.6007,0.0283,1574.7282,301.53,3.17
269.0,0.0441,48.6178,0.0283,1575.0060,301.54,3.17
270.0,0.0441,48.6350,0.0283,1575.2838,301.55,3.17
271.0,0.0441,48.6521,0.0283,1575.5616,301.55,3.17
272.0,0.0441,48.6692,0.0284,1575.8394,301.56,3.17
273.0,0.0442,48.6864,0.0284,1576.1172,301.56,3.17
274.0,0.0442,48.7035,0.0284,1576.3950,301.57,3.17
275.0,0.0442,48.7207,0.0284,1576.6728,301.57,3.17
276.0,0.0442,48.7378,0.0284,1576.9506,301.58,3.17
277.0,0.0442,48.7550,0.0285,1577.2284,301.58,3.17
278.0,0.0442,48.7721,0.0285,1577.5062,301.59,3.17
279.0,0.0443,48.7893,0.0285,1577.7840,301.60,3.17
280.0,0.0443,48.8065,0.0285,1578.0618,301.60,3.17
281.0,0.0443,48.8236,0.0285,1578.3396,301.61,3.17
282.0,0.0443,48.8408,0.0286,1578.6174,301.61,3.17
283.0,0.0443,48.8580,0.0286,1578.8952,301.62,3.17
284.0,0.0443,48.8751,0.0286,1579.1730,301.62,3.17
285.0,0.0443,48.8923,0.0286,1579.4508,301.63,3.17
286.0,0.0444,48.9095,0.0287,1579.7286,301.63,3.17
287.0,0.0444,48.9267,0.0287,1580.0064,301.64,3.17
288.0,0.0444,48.9439,0.0287,1580.2842,301.64,3.17
289.0,0.0444,48.9611,0.0287,1580.5620,301.65,3.17
290.0,0.0444,48.9783,0.0287,1580.8398,301.66,3.17
291.0,0.0444,48.9955,0.0288,1581.1176,301.66,3.17
292.0,0.0445,49.0127,0.0288,1581.3954,301.67,3.17
293.0,0.0445,49.0299,0.0288,1581.6732,301.67,3.17
294.0,0.0445,49.0471,0.0288,1581.9510,301.68,3.17
295.0,0.0445,49.0643,0.0288,1582.2288,301.68,3.17
296.0,0.0445,49.0815,0.0289,1582.5066,301.69,3.17
297.0,0.0445,49.0987,0.0289,1582.7844,301.69,3.17
298.0,0.0446,49.1159,0.0289,1583.0622,301.70,3.17
299.0,0.0446,49.1331,0.0289,1583.3400,301.70,3.17
300.0,0.0446,49.1504,0.0290,1583.6178,301.71,3.17
301.0,0.0446,49.1676,0.0290,1583.8956,301.72,3.17
302.0,0.0446,49.1848,0.0290,1584.1734,301.72,3.17
303.0,0.0446,49.2021,0.0290,1584.4512,301.73,3.17
304.0,0.0446,49.2193,0.0290,1584.7290,301.73,3.17
305.0,0.0447,49.2365,0.0291,1585.0068,301.74,3.17
306.0,0.0447,49.2538,0.0291,1585.2846,301.74,3.17
307.0,0.0447,49.2710,0.0291,1585.5624,301.75,3.17
308.0,0.0447,49.2883,0.0291,1585.8402,301.75,3.17
309.0,0.0447,49.3055,0.0292,1586.1180,301.76,3.17
310.0,0.0447,49.3228,0.0292,1586.3958,301.76,3.17
311.0,0.0448,49.3400,0.0292,1586.6736,301.77,3.17
312.0,0.0448,49.3573,0.0292,1586.9514,301.78,3.17
313.0,0.0448,49.3746,0.0292,1587.2292,301.78,3.17
314.0,0.0448,49.3918,0.0293,1587.5070,301.79,3.17
315.0,0.0448,49.4091,0.0293,1587.7848,301.79,3.17
316.0,0.0448,49.4264,0.0293,1588.0626,301.80,3.17
317.0,0.0448,49.4436,0.0293,1588.3404,301.80,3.17
318.0,0.0449,49.4609,0.0293,1588.6182,301.81,3.17
319.0,0.0449,49.4782,0.0294,1588.8960,301.81,3.17
320.0,0.0449,49.4955,0.0294,1589.1738,301.82,3.17
321.0,0.0449,49.5128,0.0294,1589.4516,301.82,3.17
322.0,0.0449,49.5301,0.0294,1589.7294,301.83,3.17
323.0,0.0449,49.5474,0.0295,1590.0072,301.84,3.16
324.0,0.0450,49.5647,0.0295,1590.2850,301.84,3.16
325.0,0.0450,49.5820,0.0295,1590.5628,301.85,3.16
326.0,0.0450,49.5993,0.0295,1590.8406,301.85,3.16
327.0,0.0450,49.6166,0.0295,1591.1184,301.86,3.16
328.0,0.0450,49.6339,0.0296,1591.3962,301.86,3.16
329.0,0.0450,49.6512,0.0296,1591.6740,301.87,3.16
330.0,0.0451,49.6685,0.0296,1591.9518,301.87,3.16
331.0,0.0451,49.6858,0.0296,1592.2296,301.88,3.16
332.0,0.0451,49.7031,0.0297,1592.5074,301.88,3.16
333.0,0.0451,49.7205,0.0297,1592.7852,301.89,3.16
334.0,0.0451,49.7378,0.0297,1593.0630,301.89,3.16
335.0,0.0451,49.7551,0.0297,1593.3408,301.90,3.16
336.0,0.0451,49.7725,0.0297,1593.6186,301.91,3.16
337.0,0.0452,49.7898,0.0298,1593.8964,301.91,3.16
338.0,0.0452,49.8071,0.0298,1594.1742,301.92,3.16
339.0,0.0452,49.8245,0.0298,1594.4520,301.92,3.16
340.0,0.0452,49.8418,0.0298,1594.7298,301.93,3.16
341.0,0.0452,49.8592,0.0299,1595.0076,301.93,3.16
342.0,0.0452,49.8765,0.0299,1595.2854,301.94,3.16
343.0,0.0453,49.8939,0.0299,1595.5632,301.94,3.16
344.0,0.0453,49.9112,0.0299,1595.8410,301.95,3.16
345.0,0.0453,49.9286,0.0299,1596.1188,301.95,3.16
346.0,0.0453,49.9460,0.0300,1596.3966,301.96,3.16
347.0,0.0453,49.9633,0.0300,1596.6744,301.96,3.16
348.0,0.0453,49.9807,0.0300,1596.9522,301.97,3.16
349.0,0.0454,49.9981,0.0300,1597.2300,301.98,3.16
350.0,0.0454,50.0154,0.0301,1597.5078,301.98,3.16
351.0,0.0454,50.0328,0.0301,1597.7856,301.99,3.16
352.0,0.0454,50.0502,0.0301,1598.0634,301.99,3.16
353.0,0.0454,50.0676,0.0301,1598.3412,302.00,3.16
354.0,0.0454,50.0850,0.0301,1598.6190,302.00,3.16
355.0,0.0454,50.1024,0.0302,1598.8968,302.01,3.16
356.0,0.0455,50.1197,0.0302,1599.1746,302.01,3.16
357.0,0.0455,50.1371,0.0302,1599.4524,302.02,3.16
358.0,0.0455,50.1545,0.0302,1599.7302,302.02,3.16
359.0,0.0455,50.1719,0.0303,1600.0080,302.03,3.16
360.0,0.0455,50.1894,0.0303,1600.2858,302.03,3.16
361.0,0.0455,50.2068,0.0303,1600.5636,302.04,3.16
362.0,0.0456,50.2242,0.0303,1600.8414,302.04,3.16
363.0,0.0456,50.2416,0.0304,1601.1192,302.05,3.16
364.0,0.0456,50.2590,0.0304,1601.3970,302.06,3.16
365.0,0.0456,50.2764,0.0304,1601.6748,302.06,3.16
366.0,0.0456,50.2938,0.0304,1601.9526,302.07,3.16
367.0,0.0456,50.3113,0.0304,1602.2304,302.07,3.16
368.0,0.0457,50.3287,0.0305,1602.5082,302.08,3.16
369.0,0.0457,50.3461,0.0305,1602.7860,302.08,3.16
370.0,0.0457,50.3636,0.0305,1603.0638,302.09,3.16
371.0,0.0457,50.3810,0.0305,1603.3416,302.09,3.16
372.0,0.0457,50.3985,0.0306,1603.6194,302.10,3.16
373.0,0.0457,50.4159,0.0306,1603.8972,302.10,3.16
374.0,0.0457,50.4333,0.0306,1604.1750,302.11,3.16
375.0,0.0458,50.4508,0.0306,1604.4528,302.11,3.16
376.0,0.0458,50.4682,0.0306,1604.7306,302.12,3.16
377.0,0.0458,50.4857,0.0307,1605.0084,302.12,3.16
378.0,0.0458,50.5032,0.0307,1605.2862,302.13,3.16
379.0,0.0458,50.5206,0.0307,1605.5640,302.13,3.16
380.0,0.0458,50.5381,0.0307,1605.8418,302.14,3.16
381.0,0.0459,50.5556,0.0308,1606.1196,302.15,3.16
382.0,0.0459,50.5730,0.0308,1606.3974,302.15,3.16
383.0,0.0459,50.5905,0.0308,1606.6752,302.16,3.16
384.0,0.0459,50.6080,0.0308,1606.9530,302.16,3.16
385.0,0.0459,50.6255,0.0309,1607.2308,302.17,3.16
386.0,0.0459,50.6429,0.0309,1607.5086,302.17,3.16
387.0,0.0460,50.6604,0.0309,1607.7864,302.18,3.16
388.0,0.0460,50.6779,0.0309,1608.0642,302.18,3.16
389.0,0.0460,50.6954,0.0309,1608.3420,302.19,3.16
390.0,0.0460,50.7129,0.0310,1608.6198,302.19,3.15
391.0,0.0460,50.7304,0.0310,1608.8976,302.20,3.15
392.0,0.0460,50.7479,0.0310,1609.1754,302.20,3.15
393.0,0.0460,50.7654,0.0310,1609.4532,302.21,3.15
394.0,0.0461,50.7829,0.0311,1609.7310,302.21,3.15
395.0,0.0461,50.8004,0.0311,1610.0088,302.22,3.15
396.0,0.0461,50.8180,0.0311,1610.2866,302.22,3.15
397.0,0.0461,50.8355,0.0311,1610.5644,302.23,3.15
398.0,0.0461,50.8530,0.0312,1610.8422,302.23,3.15
399.0,0.0461,50.8705,0.0312,1611.1200,302.24,3.15
400.0,0.0462,50.8880,0.0312,1611.3978,302.24,3.15
401.0,0.0462,50.9056,0.0312,1611.6756,302.25,3.15
402.0,0.0462,50.9231,0.0312,1611.9534,302.25,3.15
403.0,0.0462,50.9406,0.0313,1612.2312,302.26,3.15
404.0,0.0462,50.9582,0.0313,1612.5090,302.27,3.15
405.0,0.0462,50.9757,0.0313,1612.7868,302.27,3.15
406.0,0.0463,50.9933,0.0313,1613.0646,302.28,3.15
407.0,0.0463,51.0108,0.0314,1613.3424,302.28,3.15
408.0,0.0463,51.0284,0.0314,1613.6202,302.29,3.15
409.0,0.0463,51.0459,0.0314,1613.8980,302.29,3.15
410.0,0.0463,51.0635,0.0314,1614.1758,302.30,3.15
411.0,0.0463,51.0810,0.0315,1614.4536,302.30,3.15
412.0,0.0464,51.0986,0.0315,1614.7314,302.31,3.15
413.0,0.0464,51.1161,0.0315,1615.0092,302.31,3.15
414.0,0.0464,51.1337,0.0315,1615.2870,302.32,3.15
415.0,0.0464,51.1513,0.0315,1615.5648,302.32,3.15
416.0,0.0464,51.1689,0.0316,1615.8426,302.33,3.15
417.0,0.0464,51.1864,0.0316,1616.1204,302.33,3.15
418.0,0.0464,51.2040,0.0316,1616.3982,302.34,3.15
419.0,0.0465,51.2216,0.0316,1616.6760,302.34,3.15
