Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K),pH
33.0      ,0.1422      ,39.7350       ,0.0238      ,509.4452    ,300.06      ,3.26  
34.0      ,0.1424      ,39.6918       ,0.0238      ,509.7230    ,300.06      ,3.26  
35.0      ,0.1425      ,39.6487       ,0.0238      ,510.0008    ,300.06      ,3.26  
36.0      ,0.1427      ,39.6057       ,0.0238      ,510.2786    ,300.06      ,3.26  
37.0      ,0.1428      ,39.5627       ,0.0237      ,510.5564    ,300.06      ,3.26  
38.0      ,0.1430      ,39.5198       ,0.0237      ,510.8342    ,300.07      ,3.26  
39.0      ,0.1432      ,39.4770       ,0.0237      ,511.1120    ,300.07      ,3.26  
40.0      ,0.1433      ,39.4343       ,0.0237      ,511.3898    ,300.07      ,3.26  
41.0      ,0.1435      ,39.3916       ,0.0237      ,511.6676    ,300.07      ,3.26  
42.0      ,0.1436      ,39.3490       ,0.0237      ,511.9454    ,300.07      ,3.27  
43.0      ,0.1438      ,39.3065       ,0.0237      ,512.2232    ,300.08      ,3.27  
44.0      ,0.1439      ,39.2640       ,0.0237      ,512.5010    ,300.08      ,3.27  
45.0      ,0.1441      ,39.2216       ,0.0237      ,512.7788    ,300.08      ,3.27  
46.0      ,0.1442      ,39.1793       ,0.0237      ,513.0566    ,300.08      ,3.27  
47.0      ,0.1444      ,39.1370       ,0.0237      ,513.3344    ,300.08      ,3.27  
48.0      ,0.1446      ,39.0948       ,0.0237      ,513.6122    ,300.08      ,3.27  
49.0      ,0.1447      ,39.0527       ,0.0236      ,513.8900    ,300.09      ,3.27  
50.0      ,0.1449      ,39.0106       ,0.0236      ,514.1678    ,300.09      ,3.27  
51.0      ,0.1450      ,38.9686       ,0.0236      ,514.4456    ,300.09      ,3.27  
52.0      ,0.1452      ,38.9267       ,0.0236      ,514.7234    ,300.09      ,3.27  
53.0      ,0.1453      ,38.8849       ,0.0236      ,515.0012    ,300.09      ,3.27  
54.0      ,0.1455      ,38.8431       ,0.0236      ,515.2790    ,300.09      ,3.27  
55.0      ,0.1457      ,38.8014       ,0.0236      ,515.5568    ,300.10      ,3.27  
56.0      ,0.1458      ,38.7597       ,0.0236      ,515.8346    ,300.10      ,3.27  
57.0      ,0.1460      ,38.7181       ,0.0236      ,516.1124    ,300.10      ,3.27  
58.0      ,0.1461      ,38.6766       ,0.0236      ,516.3902    ,300.10      ,3.27  
59.0      ,0.1463      ,38.6352       ,0.0236      ,516.6680    ,300.10      ,3.27  
60.0      ,0.1464      ,38.5938       ,0.0236      ,516.9458    ,300.10      ,3.27  
61.0      ,0.1466      ,38.5525       ,0.0235      ,517.2236    ,300.11      ,3.27  
62.0      ,0.1468      ,38.5112       ,0.0235      ,517.5014    ,300.11      ,3.27  
63.0      ,0.1469      ,38.4701       ,0.0235      ,517.7792    ,300.11      ,3.27  
64.0      ,0.1471      ,38.4289       ,0.0235      ,518.0570    ,300.11      ,3.28  
65.0      ,0.1472      ,38.3879       ,0.0235      ,518.3348    ,300.11      ,3.28  
66.0      ,0.1474      ,38.3469       ,0.0235      ,518.6126    ,300.12      ,3.28  
67.0      ,0.1475      ,38.3060       ,0.0235      ,518.8904    ,300.12      ,3.28  
68.0      ,0.1477      ,38.2652       ,0.0235      ,519.1682    ,300.12      ,3.28  
69.0      ,0.1479      ,38.2244       ,0.0235      ,519.4460    ,300.12      ,3.28  
70.0      ,0.1480      ,38.1837       ,0.0235      ,519.7238    ,300.12      ,3.28  
71.0      ,0.1482      ,38.1430       ,0.0234      ,520.0016    ,300.12      ,3.28  
72.0      ,0.1483      ,38.1024       ,0.0234      ,520.2794    ,300.13      ,3.28  
73.0      ,0.1485      ,38.0619       ,0.0234      ,520.5572    ,300.13      ,3.28  
74.0      ,0.1487      ,38.0214       ,0.0234      ,520.8350    ,300.13      ,3.28  
75.0      ,0.1488      ,37.9811       ,0.0234      ,521.1128    ,300.13      ,3.28  
76.0      ,0.1490      ,37.9407       ,0.0234      ,521.3906    ,300.13      ,3.28  
77.0      ,0.1491      ,37.9005       ,0.0234      ,521.6684    ,300.13      ,3.28  
78.0      ,0.1493      ,37.8603       ,0.0234      ,521.9462    ,300.14      ,3.28  
79.0      ,0.1494      ,37.8201       ,0.0234      ,522.2240    ,300.14      ,3.28  
80.0      ,0.1496      ,37.7801       ,0.0234      ,522.5018    ,300.14      ,3.28  
81.0      ,0.1498      ,37.7401       ,0.0233      ,522.7796    ,300.14      ,3.28  
82.0      ,0.1499      ,37.7001       ,0.0233      ,523.0574    ,300.14      ,3.28  
83.0      ,0.1501      ,37.6603       ,0.0233      ,523.3352    ,300.14      ,3.28  
84.0      ,0.1502      ,37.6204       ,0.0233      ,523.6130    ,300.15      ,3.28  
85.0      ,0.1504      ,37.5807       ,0.0233      ,523.8908    ,300.15      ,3.29  
86.0      ,0.1506      ,37.5410       ,0.0233      ,524.1686    ,300.15      ,3.29  
87.0      ,0.1507      ,37.5014       ,0.0233      ,524.4464    ,300.15      ,3.29  
88.0      ,0.1509      ,37.4618       ,0.0233      ,524.7242    ,300.15      ,3.29  
89.0      ,0.1510      ,37.4223       ,0.0233      ,525.0020    ,300.16      ,3.29  
90.0      ,0.1512      ,37.3829       ,0.0232      ,525.2798    ,300.16      ,3.29  
91.0      ,0.1514      ,37.3435       ,0.0232      ,525.5576    ,300.16      ,3.29  
92.0      ,0.1515      ,37.3042       ,0.0232      ,525.8354    ,300.16      ,3.29  
93.0      ,0.1517      ,37.2650       ,0.0232      ,526.1132    ,300.16      ,3.29  
94.0      ,0.1518      ,37.2258       ,0.0232      ,526.3910    ,300.16      ,3.29  
95.0      ,0.1520      ,37.1867       ,0.0232      ,526.6688    ,300.17      ,3.29  
96.0      ,0.1522      ,37.1476       ,0.0232      ,526.9466    ,300.17      ,3.29  
97.0      ,0.1523      ,37.1086       ,0.0232      ,527.2244    ,300.17      ,3.29  
98.0      ,0.1525      ,37.0697       ,0.0232      ,527.5022    ,300.17      ,3.29  
99.0      ,0.1526      ,37.0308       ,0.0231      ,527.7800    ,300.17      ,3.29  
100.0     ,0.1528      ,36.9920       ,0.0231      ,528.0578    ,300.17      ,3.29  
101.0     ,0.1530      ,36.9532       ,0.0231      ,528.3356    ,300.18      ,3.29  
102.0     ,0.1531      ,36.9146       ,0.0231      ,528.6134    ,300.18      ,3.29  
103.0     ,0.1533      ,36.8759       ,0.0231      ,528.8912    ,300.18      ,3.29  
104.0     ,0.1534      ,36.8374       ,0.0231      ,529.1690    ,300.18      ,3.29  
105.0     ,0.1536      ,36.7989       ,0.0231      ,529.4468    ,300.18      ,3.29  
106.0     ,0.1538      ,36.7604       ,0.0231      ,529.7246    ,300.18      ,3.29  
107.0     ,0.1539      ,36.7220       ,0.0230      ,530.0024    ,300.19      ,3.30  
108.0     ,0.1541      ,36.6837       ,0.0230      ,530.2802    ,300.19      ,3.30  
109.0     ,0.1543      ,36.6454       ,0.0230      ,530.5580    ,300.19      ,3.30  
110.0     ,0.1544      ,36.6072       ,0.0230      ,530.8358    ,300.19      ,3.30  
111.0     ,0.1546      ,36.5691       ,0.0230      ,531.1136    ,300.19      ,3.30  
112.0     ,0.1547      ,36.5310       ,0.0230      ,531.3914    ,300.20      ,3.30  
113.0     ,0.1549      ,36.4930       ,0.0230      ,531.6692    ,300.20      ,3.30  
114.0     ,0.1551      ,36.4550       ,0.0230      ,531.9470    ,300.20      ,3.30  
115.0     ,0.1552      ,36.4171       ,0.0229      ,532.2248    ,300.20      ,3.30  
116.0     ,0.1554      ,36.3793       ,0.0229      ,532.5026    ,300.20      ,3.30  
117.0     ,0.1555      ,36.3415       ,0.0229      ,532.7804    ,300.20      ,3.30  
118.0     ,0.1557      ,36.3038       ,0.0229      ,533.0582    ,300.21      ,3.30  
119.0     ,0.1559      ,36.2661       ,0.0229      ,533.3360    ,300.21      ,3.30  
120.0     ,0.1560      ,36.2285       ,0.0229      ,533.6138    ,300.21      ,3.30  
121.0     ,0.1562      ,36.1909       ,0.0229      ,533.8916    ,300.21      ,3.30  
122.0     ,0.1564      ,36.1534       ,0.0229      ,534.1694    ,300.21      ,3.30  
123.0     ,0.1565      ,36.1160       ,0.0228      ,534.4472    ,300.21      ,3.30  
124.0     ,0.1567      ,36.0786       ,0.0228      ,534.7250    ,300.22      ,3.30  
125.0     ,0.1568      ,36.0413       ,0.0228      ,535.0028    ,300.22      ,3.30  
126.0     ,0.1570      ,36.0041       ,0.0228      ,535.2806    ,300.22      ,3.30  
127.0     ,0.1572      ,35.9669       ,0.0228      ,535.5584    ,300.22      ,3.30  
128.0     ,0.1573      ,35.9297       ,0.0228      ,535.8362    ,300.22      ,3.30  
129.0     ,0.1575      ,35.8927       ,0.0228      ,536.1140    ,300.23      ,3.30  
130.0     ,0.1577      ,35.8556       ,0.0227      ,536.3918    ,300.23      ,3.31  
131.0     ,0.1578      ,35.8187       ,0.0227      ,536.6696    ,300.23      ,3.31  
132.0     ,0.1580      ,35.7818       ,0.0227      ,536.9474    ,300.23      ,3.31  
133.0     ,0.1582      ,35.7449       ,0.0227      ,537.2252    ,300.23      ,3.31  
134.0     ,0.1583      ,35.7081       ,0.0227      ,537.5030    ,300.23      ,3.31  
135.0     ,0.1585      ,35.6714       ,0.0227      ,537.7808    ,300.24      ,3.31  
136.0     ,0.1586      ,35.6347       ,0.0227      ,538.0586    ,300.24      ,3.31  
137.0     ,0.1588      ,35.5981       ,0.0226      ,538.3364    ,300.24      ,3.31  
138.0     ,0.1590      ,35.5615       ,0.0226      ,538.6142    ,300.24      ,3.31  
139.0     ,0.1591      ,35.5250       ,0.0226      ,538.8920    ,300.24      ,3.31  
140.0     ,0.1593      ,35.4886       ,0.0226      ,539.1698    ,300.24      ,3.31  
141.0     ,0.1595      ,35.4522       ,0.0226      ,539.4476    ,300.25      ,3.31  
142.0     ,0.1596      ,35.4158       ,0.0226      ,539.7254    ,300.25      ,3.31  
143.0     ,0.1598      ,35.3795       ,0.0226      ,540.0032    ,300.25      ,3.31  
144.0     ,0.1600      ,35.3433       ,0.0225      ,540.2810    ,300.25      ,3.31  
145.0     ,0.1601      ,35.3071       ,0.0225      ,540.5588    ,300.25      ,3.31  
146.0     ,0.1603      ,35.2710       ,0.0225      ,540.8366    ,300.25      ,3.31  
147.0     ,0.1604      ,35.2350       ,0.0225      ,541.1144    ,300.26      ,3.31  
148.0     ,0.1606      ,35.1990       ,0.0225      ,541.3922    ,300.26      ,3.31  
149.0     ,0.1608      ,35.1630       ,0.0225      ,541.6700    ,300.26      ,3.31  
150.0     ,0.1609      ,35.1271       ,0.0224      ,541.9478    ,300.26      ,3.31  
151.0     ,0.1611      ,35.0913       ,0.0224      ,542.2256    ,300.26      ,3.31  
152.0     ,0.1613      ,35.0555       ,0.0224      ,542.5034    ,300.27      ,3.32  
153.0     ,0.1614      ,35.0198       ,0.0224      ,542.7812    ,300.27      ,3.32  
154.0     ,0.1616      ,34.9841       ,0.0224      ,543.0590    ,300.27      ,3.32  
155.0     ,0.1618      ,34.9485       ,0.0224      ,543.3368    ,300.27      ,3.32  
156.0     ,0.1619      ,34.9129       ,0.0224      ,543.6146    ,300.27      ,3.32  
157.0     ,0.1621      ,34.8774       ,0.0223      ,543.8924    ,300.27      ,3.32  
158.0     ,0.1623      ,34.8420       ,0.0223      ,544.1702    ,300.28      ,3.32  
159.0     ,0.1624      ,34.8066       ,0.0223      ,544.4480    ,300.28      ,3.32  
160.0     ,0.1626      ,34.7712       ,0.0223      ,544.7258    ,300.28      ,3.32  
161.0     ,0.1628      ,34.7359       ,0.0223      ,545.0036    ,300.28      ,3.32  
162.0     ,0.1629      ,34.7007       ,0.0223      ,545.2814    ,300.28      ,3.32  
163.0     ,0.1631      ,34.6655       ,0.0222      ,545.5592    ,300.28      ,3.32  
164.0     ,0.1633      ,34.6304       ,0.0222      ,545.8370    ,300.29      ,3.32  
165.0     ,0.1634      ,34.5953       ,0.0222      ,546.1148    ,300.29      ,3.32  
166.0     ,0.1636      ,34.5603       ,0.0222      ,546.3926    ,300.29      ,3.32  
167.0     ,0.1638      ,34.5253       ,0.0222      ,546.6704    ,300.29      ,3.32  
168.0     ,0.1639      ,34.4904       ,0.0222      ,546.9482    ,300.29      ,3.32  
169.0     ,0.1641      ,34.4556       ,0.0221      ,547.2260    ,300.29      ,3.32  
170.0     ,0.1643      ,34.4208       ,0.0221      ,547.5038    ,300.30      ,3.32  
171.0     ,0.1644      ,34.3860       ,0.0221      ,547.7816    ,300.30      ,3.32  
172.0     ,0.1646      ,34.3513       ,0.0221      ,548.0594    ,300.30      ,3.32  
173.0     ,0.1648      ,34.3167       ,0.0221      ,548.3372    ,300.30      ,3.32  
174.0     ,0.1649      ,34.2821       ,0.0221      ,548.6150    ,300.30      ,3.32  
175.0     ,0.1651      ,34.2475       ,0.0220      ,548.8928    ,300.31      ,3.33  
176.0     ,0.1653      ,34.2130       ,0.0220      ,549.1706    ,300.31      ,3.33  
177.0     ,0.1654      ,34.1786       ,0.0220      ,549.4484    ,300.31      ,3.33  
178.0     ,0.1656      ,34.1442       ,0.0220      ,549.7262    ,300.31      ,3.33  
179.0     ,0.1658      ,34.1099       ,0.0220      ,550.0040    ,300.31      ,3.33  
180.0     ,0.1659      ,34.0756       ,0.0220      ,550.2818    ,300.31      ,3.33  
181.0     ,0.1661      ,34.0414       ,0.0219      ,550.5596    ,300.32      ,3.33  
182.0     ,0.1663      ,34.0072       ,0.0219      ,550.8374    ,300.32      ,3.33  
183.0     ,0.1664      ,33.9731       ,0.0219      ,551.1152    ,300.32      ,3.33  
184.0     ,0.1666      ,33.9390       ,0.0219      ,551.3930    ,300.32      ,3.33  
185.0     ,0.1668      ,33.9050       ,0.0219      ,551.6708    ,300.32      ,3.33  
186.0     ,0.1669      ,33.8710       ,0.0218      ,551.9486    ,300.32      ,3.33  
187.0     ,0.1671      ,33.8371       ,0.0218      ,552.2264    ,300.33      ,3.33  
188.0     ,0.1673      ,33.8033       ,0.0218      ,552.5042    ,300.33      ,3.33  
189.0     ,0.1674      ,33.7694       ,0.0218      ,552.7820    ,300.33      ,3.33  
190.0     ,0.1676      ,33.7357       ,0.0218      ,553.0598    ,300.33      ,3.33  
191.0     ,0.1678      ,33.7020       ,0.0218      ,553.3376    ,300.33      ,3.33  
192.0     ,0.1679      ,33.6683       ,0.0217      ,553.6154    ,300.33      ,3.33  
193.0     ,0.1681      ,33.6347       ,0.0217      ,553.8932    ,300.34      ,3.33  
194.0     ,0.1683      ,33.6011       ,0.0217      ,554.1710    ,300.34      ,3.33  
195.0     ,0.1685      ,33.5676       ,0.0217      ,554.4488    ,300.34      ,3.33  
196.0     ,0.1686      ,33.5342       ,0.0217      ,554.7266    ,300.34      ,3.33  
197.0     ,0.1688      ,33.5008       ,0.0216      ,555.0044    ,300.34      ,3.33  
198.0     ,0.1690      ,33.4674       ,0.0216      ,555.2822    ,300.35      ,3.34  
199.0     ,0.1691      ,33.4341       ,0.0216      ,555.5600    ,300.35      ,3.34  
200.0     ,0.1693      ,33.4008       ,0.0216      ,555.8378    ,300.35      ,3.34  
201.0     ,0.1695      ,33.3676       ,0.0216      ,556.1156    ,300.35      ,3.34  
202.0     ,0.1696      ,33.3345       ,0.0216      ,556.3934    ,300.35      ,3.34  
203.0     ,0.1698      ,33.3014       ,0.0215      ,556.6712    ,300.35      ,3.34  
204.0     ,0.1700      ,33.2683       ,0.0215      ,556.9490    ,300.36      ,3.34  
205.0     ,0.1701      ,33.2353       ,0.0215      ,557.2268    ,300.36      ,3.34  
206.0     ,0.1703      ,33.2024       ,0.0215      ,557.5046    ,300.36      ,3.34  
207.0     ,0.1705      ,33.1694       ,0.0215      ,557.7824    ,300.36      ,3.34  
208.0     ,0.1707      ,33.1366       ,0.0214      ,558.0602    ,300.36      ,3.34  
209.0     ,0.1708      ,33.1038       ,0.0214      ,558.3380    ,300.36      ,3.34  
210.0     ,0.1710      ,33.0710       ,0.0214      ,558.6158    ,300.37      ,3.34  
211.0     ,0.1712      ,33.0383       ,0.0214      ,558.8936    ,300.37      ,3.34  
212.0     ,0.1713      ,33.0056       ,0.0214      ,559.1714    ,300.37      ,3.34  
213.0     ,0.1715      ,32.9730       ,0.0213      ,559.4492    ,300.37      ,3.34  
214.0     ,0.1717      ,32.9405       ,0.0213      ,559.7270    ,300.37      ,3.34  
215.0     ,0.1718      ,32.9079       ,0.0213      ,560.0048    ,300.37      ,3.34  
216.0     ,0.1720      ,32.8755       ,0.0213      ,560.2826    ,300.38      ,3.34  
217.0     ,0.1722      ,32.8431       ,0.0213      ,560.5604    ,300.38      ,3.34  
218.0     ,0.1724      ,32.8107       ,0.0212      ,560.8382    ,300.38      ,3.34  
219.0     ,0.1725      ,32.7784       ,0.0212      ,561.1160    ,300.38      ,3.34  
220.0     ,0.1727      ,32.7461       ,0.0212      ,561.3938    ,300.38      ,3.34  
221.0     ,0.1729      ,32.7139       ,0.0212      ,561.6716    ,300.39      ,3.35  
222.0     ,0.1730      ,32.6817       ,0.0212      ,561.9494    ,300.39      ,3.35  
223.0     ,0.1732      ,32.6496       ,0.0211      ,562.2272    ,300.39      ,3.35  
224.0     ,0.1734      ,32.6175       ,0.0211      ,562.5050    ,300.39      ,3.35  
225.0     ,0.1736      ,32.5854       ,0.0211      ,562.7828    ,300.39      ,3.35  
226.0     ,0.1737      ,32.5534       ,0.0211      ,563.0606    ,300.39      ,3.35  
227.0     ,0.1739      ,32.5215       ,0.0210      ,563.3384    ,300.40      ,3.35  
228.0     ,0.1741      ,32.4896       ,0.0210      ,563.6162    ,300.40      ,3.35  
229.0     ,0.1742      ,32.4578       ,0.0210      ,563.8940    ,300.40      ,3.35  
230.0     ,0.1744      ,32.4260       ,0.0210      ,564.1718    ,300.40      ,3.35  
231.0     ,0.1746      ,32.3942       ,0.0210      ,564.4496    ,300.40      ,3.35  
232.0     ,0.1748      ,32.3625       ,0.0209      ,564.7274    ,300.40      ,3.35  
233.0     ,0.1749      ,32.3309       ,0.0209      ,565.0052    ,300.41      ,3.35  
234.0     ,0.1751      ,32.2993       ,0.0209      ,565.2830    ,300.41      ,3.35  
235.0     ,0.1753      ,32.2677       ,0.0209      ,565.5608    ,300.41      ,3.35  
236.0     ,0.1754      ,32.2362       ,0.0209      ,565.8386    ,300.41      ,3.35  
237.0     ,0.1756      ,32.2047       ,0.0208      ,566.1164    ,300.41      ,3.35  
238.0     ,0.1758      ,32.1733       ,0.0208      ,566.3942    ,300.41      ,3.35  
239.0     ,0.1760      ,32.1419       ,0.0208      ,566.6720    ,300.42      ,3.35  
240.0     ,0.1761      ,32.1106       ,0.0208      ,566.9498    ,300.42      ,3.35  
241.0     ,0.1763      ,32.0793       ,0.0207      ,567.2276    ,300.42      ,3.35  
242.0     ,0.1765      ,32.0481       ,0.0207      ,567.5054    ,300.42      ,3.35  
243.0     ,0.1767      ,32.0169       ,0.0207      ,567.7832    ,300.42      ,3.35  
244.0     ,0.1768      ,31.9857       ,0.0207      ,568.0610    ,300.43      ,3.36  
245.0     ,0.1770      ,31.9546       ,0.0207      ,568.3388    ,300.43      ,3.36  
246.0     ,0.1772      ,31.9236       ,0.0206      ,568.6166    ,300.43      ,3.36  
247.0     ,0.1773      ,31.8926       ,0.0206      ,568.8944    ,300.43      ,3.36  
248.0     ,0.1775      ,31.8616       ,0.0206      ,569.1722    ,300.43      ,3.36  
249.0     ,0.1777      ,31.8307       ,0.0206      ,569.4500    ,300.43      ,3.36  
250.0     ,0.1779      ,31.7998       ,0.0205      ,569.7278    ,300.44      ,3.36  
251.0     ,0.1780      ,31.7690       ,0.0205      ,570.0056    ,300.44      ,3.36  
252.0     ,0.1782      ,31.7382       ,0.0205      ,570.2834    ,300.44      ,3.36  
253.0     ,0.1784      ,31.7075       ,0.0205      ,570.5612    ,300.44      ,3.36  
254.0     ,0.1786      ,31.6768       ,0.0205      ,570.8390    ,300.44      ,3.36  
255.0     ,0.1787      ,31.6461       ,0.0204      ,571.1168    ,300.44      ,3.36  
256.0     ,0.1789      ,31.6155       ,0.0204      ,571.3946    ,300.45      ,3.36  
257.0     ,0.1791      ,31.5850       ,0.0204      ,571.6724    ,300.45      ,3.36  
258.0     ,0.1793      ,31.5544       ,0.0204      ,571.9502    ,300.45      ,3.36  
259.0     ,0.1794      ,31.5240       ,0.0203      ,572.2280    ,300.45      ,3.36  
260.0     ,0.1796      ,31.4936       ,0.0203      ,572.5058    ,300.45      ,3.36  
261.0     ,0.1798      ,31.4632       ,0.0203      ,572.7836    ,300.45      ,3.36  
262.0     ,0.1799      ,31.4328       ,0.0203      ,573.0614    ,300.46      ,3.36  
263.0     ,0.1801      ,31.4026       ,0.0202      ,573.3392    ,300.46      ,3.36  
264.0     ,0.1803      ,31.3723       ,0.0202      ,573.6170    ,300.46      ,3.36  
265.0     ,0.1805      ,31.3421       ,0.0202      ,573.8948    ,300.46      ,3.36  
266.0     ,0.1806      ,31.3120       ,0.0202      ,574.1726    ,300.46      ,3.36  
267.0     ,0.1808      ,31.2818       ,0.0201      ,574.4504    ,300.47      ,3.36  
268.0     ,0.1810      ,31.2518       ,0.0201      ,574.7282    ,300.47      ,3.37  
269.0     ,0.1812      ,31.2217       ,0.0201      ,575.0060    ,300.47      ,3.37  
270.0     ,0.1813      ,31.1918       ,0.0201      ,575.2838    ,300.47      ,3.37  
271.0     ,0.1815      ,31.1618       ,0.0200      ,575.5616    ,300.47      ,3.37  
272.0     ,0.1817      ,31.1319       ,0.0200      ,575.8394    ,300.47      ,3.37  
273.0     ,0.1819      ,31.1021       ,0.0200      ,576.1172    ,300.48      ,3.37  
274.0     ,0.1820      ,31.0723       ,0.0200      ,576.3950    ,300.48      ,3.37  
275.0     ,0.1822      ,31.0425       ,0.0200      ,576.6728    ,300.48      ,3.37  
276.0     ,0.1824      ,31.0128       ,0.0199      ,576.9506    ,300.48      ,3.37  
277.0     ,0.1826      ,30.9831       ,0.0199      ,577.2284    ,300.48      ,3.37  
278.0     ,0.1828      ,30.9535       ,0.0199      ,577.5062    ,300.48      ,3.37  
279.0     ,0.1829      ,30.9239       ,0.0199      ,577.7840    ,300.49      ,3.37  
280.0     ,0.1831      ,30.8943       ,0.0198      ,578.0618    ,300.49      ,3.37  
281.0     ,0.1833      ,30.8648       ,0.0198      ,578.3396    ,300.49      ,3.37  
282.0     ,0.1835      ,30.8354       ,0.0198      ,578.6174    ,300.49      ,3.37  
283.0     ,0.1836      ,30.8059       ,0.0197      ,578.8952    ,300.49      ,3.37  
284.0     ,0.1838      ,30.7766       ,0.0197      ,579.1730    ,300.49      ,3.37  
285.0     ,0.1840      ,30.7472       ,0.0197      ,579.4508    ,300.50      ,3.37  
286.0     ,0.1842      ,30.7179       ,0.0197      ,579.7286    ,300.50      ,3.37  
287.0     ,0.1843      ,30.6887       ,0.0196      ,580.0064    ,300.50      ,3.37  
288.0     ,0.1845      ,30.6595       ,0.0196      ,580.2842    ,300.50      ,3.37  
289.0     ,0.1847      ,30.6303       ,0.0196      ,580.5620    ,300.50      ,3.37  
290.0     ,0.1849      ,30.6012       ,0.0196      ,580.8398    ,300.51      ,3.37  
291.0     ,0.1850      ,30.5721       ,0.0195      ,581.1176    ,300.51      ,3.37  
292.0     ,0.1852      ,30.5431       ,0.0195      ,581.3954    ,300.51      ,3.38  
293.0     ,0.1854      ,30.5141       ,0.0195      ,581.6732    ,300.51      ,3.38  
294.0     ,0.1856      ,30.4851       ,0.0195      ,581.9510    ,300.51      ,3.38  
295.0     ,0.1858      ,30.4562       ,0.0194      ,582.2288    ,300.51      ,3.38  
296.0     ,0.1859      ,30.4273       ,0.0194      ,582.5066    ,300.52      ,3.38  
297.0     ,0.1861      ,30.3985       ,0.0194      ,582.7844    ,300.52      ,3.38  
298.0     ,0.1863      ,30.3697       ,0.0194      ,583.0622    ,300.52      ,3.38  
299.0     ,0.1865      ,30.3409       ,0.0193      ,583.3400    ,300.52      ,3.38  
300.0     ,0.1866      ,30.3122       ,0.0193      ,583.6178    ,300.52      ,3.38  
301.0     ,0.1868      ,30.2835       ,0.0193      ,583.8956    ,300.52      ,3.38  
302.0     ,0.1870      ,30.2549       ,0.0193      ,584.1734    ,300.53      ,3.38  
303.0     ,0.1872      ,30.2263       ,0.0192      ,584.4512    ,300.53      ,3.38  
304.0     ,0.1873      ,30.1978       ,0.0192      ,584.7290    ,300.53      ,3.38  
305.0     ,0.1875      ,30.1693       ,0.0192      ,585.0068    ,300.53      ,3.38  
306.0     ,0.1877      ,30.1408       ,0.0191      ,585.2846    ,300.53      ,3.38  
307.0     ,0.1879      ,30.1124       ,0.0191      ,585.5624    ,300.53      ,3.38  
